"blackscholes"	1.000556383	1.1099043715847	1.23707391803907	2.23548146495596
"canneal"	0.976882361	1.98431001890359	96.13061247	1.94310018903592
"dedup"	1.828055269	10.8981172612653	1	2.79426509112154
"ferret"	3.722206766	21.4699545052445	1	17.4236699102742
"fluidanimate"	1.134824866	124.580065304105	1	6.03378808734405
"streamcluster"	0.828326794	0.739261832440954	0.573590583	0.823903453644628
"swaptions"	1.006200836	1.11972714930305	1.010383814	2.12070829607741
				
				
"barnes"	2.43637779903174	14.6752307992909	0	4.0235135126341
"fft"	0.980493312	3.66616998310494	1.759267853	3.62982379857331
"lu\\_cb"	0.878883953	0.819969692428103	2.293851471	1.91472575945831
"lu\\_ncb"	0.912151	1.07728873458518	30.59835413	1.89627638614004
"ocean\\_cp"	0.818781963	1.29282155082431	0	1.30415931614213
"radiosity"	1.43128117	9.53965566490953	0	2.00377400953881
"radix"	0.98068863505629	1.78999918713177	5.008216337	1.60720353739141
"raytrace"	1.289759718	11.2901574380139	0	6.68263589114593
"volrend"	1.572446498	1.19063732357741	0	3.01945174171482
"water\\_nsquared"	1.214172075	1.5801827090399	0	2.21374604483038
"water\\_spatial"	1.083636434	1.1961116509289	0	2.21842042854889
				
				
"histogram-pthread"	1.299960349	0.967094703049759	3.06562267	2.05922108647673
"kmeans-pthread"	1.065492348	4.71528762805359	0	1.20882584712372
"linear\\_regression-pthread"	0.220103208	0.447139067828723	0	0.274317334200282
"matrix\\_multiply-pthread"	1.181851489	1.03552859618718	0	1.02800328377186
"pca-pthread"	1.148808234	1.33292130201895	7.545920035	1.5459306486403
"string\\_match-pthread"	0.961066699	1.17295141406817	1.692307692	2.27663066298042
"word\\_count-pthread"	1.106781729	1.9045996592845	1.689104961	1.6937146955707

